instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,year,month,day,hour_of_day,day_of_week,is_weekend,temp_actual,atemp_actual,hum_actual,windspeed_actual,weather_desc,season_desc,casual_ratio,time_category,season_weather,day_type,check_cnt
1,2011-01-01,1,0,1,0,0,6,0,1,0.24,0.2879,0.81,0.0,3,13,16,2011,1,1,0,5,1,3.2799999999999994,3.0014000000000003,81.0,0.0,Clear/Partly Cloudy,Spring,0.1875,Night (0-6),Spring - Clear/Partly Cloudy,Weekend,16
2,2011-01-01,1,0,1,1,0,6,0,1,0.22,0.2727,0.8,0.0,8,32,40,2011,1,1,1,5,1,2.34,1.9982000000000006,80.0,0.0,Clear/Partly Cloudy,Spring,0.2,Night (0-6),Spring - Clear/Partly Cloudy,Weekend,40
3,2011-01-01,1,0,1,2,0,6,0,1,0.22,0.2727,0.8,0.0,5,27,32,2011,1,1,2,5,1,2.34,1.9982000000000006,80.0,0.0,Clear/Partly Cloudy,Spring,0.15625,Night (0-6),Spring - Clear/Partly Cloudy,Weekend,32
4,2011-01-01,1,0,1,3,0,6,0,1,0.24,0.2879,0.75,0.0,3,10,13,2011,1,1,3,5,1,3.2799999999999994,3.0014000000000003,75.0,0.0,Clear/Partly Cloudy,Spring,0.23076923076923078,Night (0-6),Spring - Clear/Partly Cloudy,Weekend,13
5,2011-01-01,1,0,1,4,0,6,0,1,0.24,0.2879,0.75,0.0,0,1,1,2011,1,1,4,5,1,3.2799999999999994,3.0014000000000003,75.0,0.0,Clear/Partly Cloudy,Spring,0.0,Night (0-6),Spring - Clear/Partly Cloudy,Weekend,1
6,2011-01-01,1,0,1,5,0,6,0,2,0.24,0.2576,0.75,0.0896,0,1,1,2011,1,1,5,5,1,3.2799999999999994,1.0015999999999998,75.0,6.0032,Misty/Cloudy,Spring,0.0,Night (0-6),Spring - Misty/Cloudy,Weekend,1
7,2011-01-01,1,0,1,6,0,6,0,1,0.22,0.2727,0.8,0.0,2,0,2,2011,1,1,6,5,1,2.34,1.9982000000000006,80.0,0.0,Clear/Partly Cloudy,Spring,1.0,Night (0-6),Spring - Clear/Partly Cloudy,Weekend,2
8,2011-01-01,1,0,1,7,0,6,0,1,0.2,0.2576,0.86,0.0,1,2,3,2011,1,1,7,5,1,1.4000000000000004,1.0015999999999998,86.0,0.0,Clear/Partly Cloudy,Spring,0.3333333333333333,Morning (6-12),Spring - Clear/Partly Cloudy,Weekend,3
9,2011-01-01,1,0,1,8,0,6,0,1,0.24,0.2879,0.75,0.0,1,7,8,2011,1,1,8,5,1,3.2799999999999994,3.0014000000000003,75.0,0.0,Clear/Partly Cloudy,Spring,0.125,Morning (6-12),Spring - Clear/Partly Cloudy,Weekend,8
10,2011-01-01,1,0,1,9,0,6,0,1,0.32,0.3485,0.76,0.0,8,6,14,2011,1,1,9,5,1,7.040000000000001,7.000999999999998,76.0,0.0,Clear/Partly Cloudy,Spring,0.5714285714285714,Morning (6-12),Spring - Clear/Partly Cloudy,Weekend,14
11,2011-01-01,1,0,1,10,0,6,0,1,0.38,0.3939,0.76,0.2537,12,24,36,2011,1,1,10,5,1,9.86,9.997399999999999,76.0,16.997899999999998,Clear/Partly Cloudy,Spring,0.3333333333333333,Morning (6-12),Spring - Clear/Partly Cloudy,Weekend,36
12,2011-01-01,1,0,1,11,0,6,0,1,0.36,0.3333,0.81,0.2836,26,30,56,2011,1,1,11,5,1,8.919999999999998,5.997799999999998,81.0,19.0012,Clear/Partly Cloudy,Spring,0.4642857142857143,Morning (6-12),Spring - Clear/Partly Cloudy,Weekend,56
13,2011-01-01,1,0,1,12,0,6,0,1,0.42,0.4242,0.77,0.2836,29,55,84,2011,1,1,12,5,1,11.739999999999998,11.997200000000003,77.0,19.0012,Clear/Partly Cloudy,Spring,0.34523809523809523,Morning (6-12),Spring - Clear/Partly Cloudy,Weekend,84
14,2011-01-01,1,0,1,13,0,6,0,2,0.46,0.4545,0.72,0.2985,47,47,94,2011,1,1,13,5,1,13.620000000000001,13.997,72.0,19.999499999999998,Misty/Cloudy,Spring,0.5,Afternoon (12-18),Spring - Misty/Cloudy,Weekend,94
15,2011-01-01,1,0,1,14,0,6,0,2,0.46,0.4545,0.72,0.2836,35,71,106,2011,1,1,14,5,1,13.620000000000001,13.997,72.0,19.0012,Misty/Cloudy,Spring,0.330188679245283,Afternoon (12-18),Spring - Misty/Cloudy,Weekend,106
16,2011-01-01,1,0,1,15,0,6,0,2,0.44,0.4394,0.77,0.2985,40,70,110,2011,1,1,15,5,1,12.68,13.000399999999999,77.0,19.999499999999998,Misty/Cloudy,Spring,0.36363636363636365,Afternoon (12-18),Spring - Misty/Cloudy,Weekend,110
17,2011-01-01,1,0,1,16,0,6,0,2,0.42,0.4242,0.82,0.2985,41,52,93,2011,1,1,16,5,1,11.739999999999998,11.997200000000003,82.0,19.999499999999998,Misty/Cloudy,Spring,0.44086021505376344,Afternoon (12-18),Spring - Misty/Cloudy,Weekend,93
18,2011-01-01,1,0,1,17,0,6,0,2,0.44,0.4394,0.82,0.2836,15,52,67,2011,1,1,17,5,1,12.68,13.000399999999999,82.0,19.0012,Misty/Cloudy,Spring,0.22388059701492538,Afternoon (12-18),Spring - Misty/Cloudy,Weekend,67
19,2011-01-01,1,0,1,18,0,6,0,3,0.42,0.4242,0.88,0.2537,9,26,35,2011,1,1,18,5,1,11.739999999999998,11.997200000000003,88.0,16.997899999999998,Light Rain/Snow,Spring,0.2571428571428571,Afternoon (12-18),Spring - Light Rain/Snow,Weekend,35
20,2011-01-01,1,0,1,19,0,6,0,3,0.42,0.4242,0.88,0.2537,6,31,37,2011,1,1,19,5,1,11.739999999999998,11.997200000000003,88.0,16.997899999999998,Light Rain/Snow,Spring,0.16216216216216217,Evening (18-24),Spring - Light Rain/Snow,Weekend,37
21,2011-01-01,1,0,1,20,0,6,0,2,0.4,0.4091,0.87,0.2537,11,25,36,2011,1,1,20,5,1,10.8,11.000600000000002,87.0,16.997899999999998,Misty/Cloudy,Spring,0.3055555555555556,Evening (18-24),Spring - Misty/Cloudy,Weekend,36
22,2011-01-01,1,0,1,21,0,6,0,2,0.4,0.4091,0.87,0.194,3,31,34,2011,1,1,21,5,1,10.8,11.000600000000002,87.0,12.998000000000001,Misty/Cloudy,Spring,0.08823529411764706,Evening (18-24),Spring - Misty/Cloudy,Weekend,34
23,2011-01-01,1,0,1,22,0,6,0,2,0.4,0.4091,0.94,0.2239,11,17,28,2011,1,1,22,5,1,10.8,11.000600000000002,94.0,15.001299999999999,Misty/Cloudy,Spring,0.39285714285714285,Evening (18-24),Spring - Misty/Cloudy,Weekend,28
24,2011-01-01,1,0,1,23,0,6,0,2,0.46,0.4545,0.88,0.2985,15,24,39,2011,1,1,23,5,1,13.620000000000001,13.997,88.0,19.999499999999998,Misty/Cloudy,Spring,0.38461538461538464,Evening (18-24),Spring - Misty/Cloudy,Weekend,39
25,2011-01-02,1,0,1,0,0,0,0,2,0.46,0.4545,0.88,0.2985,4,13,17,2011,1,2,0,6,1,13.620000000000001,13.997,88.0,19.999499999999998,Misty/Cloudy,Spring,0.23529411764705882,Night (0-6),Spring - Misty/Cloudy,Weekend,17
26,2011-01-02,1,0,1,1,0,0,0,2,0.44,0.4394,0.94,0.2537,1,16,17,2011,1,2,1,6,1,12.68,13.000399999999999,94.0,16.997899999999998,Misty/Cloudy,Spring,0.058823529411764705,Night (0-6),Spring - Misty/Cloudy,Weekend,17
27,2011-01-02,1,0,1,2,0,0,0,2,0.42,0.4242,1.0,0.2836,1,8,9,2011,1,2,2,6,1,11.739999999999998,11.997200000000003,100.0,19.0012,Misty/Cloudy,Spring,0.1111111111111111,Night (0-6),Spring - Misty/Cloudy,Weekend,9
28,2011-01-02,1,0,1,3,0,0,0,2,0.46,0.4545,0.94,0.194,2,4,6,2011,1,2,3,6,1,13.620000000000001,13.997,94.0,12.998000000000001,Misty/Cloudy,Spring,0.3333333333333333,Night (0-6),Spring - Misty/Cloudy,Weekend,6
29,2011-01-02,1,0,1,4,0,0,0,2,0.46,0.4545,0.94,0.194,2,1,3,2011,1,2,4,6,1,13.620000000000001,13.997,94.0,12.998000000000001,Misty/Cloudy,Spring,0.6666666666666666,Night (0-6),Spring - Misty/Cloudy,Weekend,3
30,2011-01-02,1,0,1,6,0,0,0,3,0.42,0.4242,0.77,0.2985,0,2,2,2011,1,2,6,6,1,11.739999999999998,11.997200000000003,77.0,19.999499999999998,Light Rain/Snow,Spring,0.0,Night (0-6),Spring - Light Rain/Snow,Weekend,2
31,2011-01-02,1,0,1,7,0,0,0,2,0.4,0.4091,0.76,0.194,0,1,1,2011,1,2,7,6,1,10.8,11.000600000000002,76.0,12.998000000000001,Misty/Cloudy,Spring,0.0,Morning (6-12),Spring - Misty/Cloudy,Weekend,1
32,2011-01-02,1,0,1,8,0,0,0,3,0.4,0.4091,0.71,0.2239,0,8,8,2011,1,2,8,6,1,10.8,11.000600000000002,71.0,15.001299999999999,Light Rain/Snow,Spring,0.0,Morning (6-12),Spring - Light Rain/Snow,Weekend,8
33,2011-01-02,1,0,1,9,0,0,0,2,0.38,0.3939,0.76,0.2239,1,19,20,2011,1,2,9,6,1,9.86,9.997399999999999,76.0,15.001299999999999,Misty/Cloudy,Spring,0.05,Morning (6-12),Spring - Misty/Cloudy,Weekend,20
34,2011-01-02,1,0,1,10,0,0,0,2,0.36,0.3485,0.81,0.2239,7,46,53,2011,1,2,10,6,1,8.919999999999998,7.000999999999998,81.0,15.001299999999999,Misty/Cloudy,Spring,0.1320754716981132,Morning (6-12),Spring - Misty/Cloudy,Weekend,53
35,2011-01-02,1,0,1,11,0,0,0,2,0.36,0.3333,0.71,0.2537,16,54,70,2011,1,2,11,6,1,8.919999999999998,5.997799999999998,71.0,16.997899999999998,Misty/Cloudy,Spring,0.22857142857142856,Morning (6-12),Spring - Misty/Cloudy,Weekend,70
36,2011-01-02,1,0,1,12,0,0,0,2,0.36,0.3333,0.66,0.2985,20,73,93,2011,1,2,12,6,1,8.919999999999998,5.997799999999998,66.0,19.999499999999998,Misty/Cloudy,Spring,0.21505376344086022,Morning (6-12),Spring - Misty/Cloudy,Weekend,93
37,2011-01-02,1,0,1,13,0,0,0,2,0.36,0.3485,0.66,0.1343,11,64,75,2011,1,2,13,6,1,8.919999999999998,7.000999999999998,66.0,8.9981,Misty/Cloudy,Spring,0.14666666666666667,Afternoon (12-18),Spring - Misty/Cloudy,Weekend,75
38,2011-01-02,1,0,1,14,0,0,0,3,0.36,0.3485,0.76,0.194,4,55,59,2011,1,2,14,6,1,8.919999999999998,7.000999999999998,76.0,12.998000000000001,Light Rain/Snow,Spring,0.06779661016949153,Afternoon (12-18),Spring - Light Rain/Snow,Weekend,59
39,2011-01-02,1,0,1,15,0,0,0,3,0.34,0.3333,0.81,0.1642,19,55,74,2011,1,2,15,6,1,7.98,5.997799999999998,81.0,11.0014,Light Rain/Snow,Spring,0.25675675675675674,Afternoon (12-18),Spring - Light Rain/Snow,Weekend,74
40,2011-01-02,1,0,1,16,0,0,0,3,0.34,0.3333,0.71,0.1642,9,67,76,2011,1,2,16,6,1,7.98,5.997799999999998,71.0,11.0014,Light Rain/Snow,Spring,0.11842105263157894,Afternoon (12-18),Spring - Light Rain/Snow,Weekend,76
41,2011-01-02,1,0,1,17,0,0,0,1,0.34,0.3333,0.57,0.194,7,58,65,2011,1,2,17,6,1,7.98,5.997799999999998,56.99999999999999,12.998000000000001,Clear/Partly Cloudy,Spring,0.1076923076923077,Afternoon (12-18),Spring - Clear/Partly Cloudy,Weekend,65
42,2011-01-02,1,0,1,18,0,0,0,2,0.36,0.3333,0.46,0.3284,10,43,53,2011,1,2,18,6,1,8.919999999999998,5.997799999999998,46.0,22.0028,Misty/Cloudy,Spring,0.18867924528301888,Afternoon (12-18),Spring - Misty/Cloudy,Weekend,53
